TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_NAME;COLLATION_NAME;COLUMN_TYPE;COLUMN_KEY;EXTRA;PRIVILEGES;COLUMN_COMMENT;GENERATION_EXPRESSION;SRS_ID
def;mysql;innodb_table_stats;clustered_index_size;5;NULL;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select,insert,update,references;;;NULL
def;mysql;innodb_table_stats;database_name;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_bin;varchar(64);PRI;;select,insert,update,references;;;NULL
def;mysql;innodb_table_stats;last_update;3;CURRENT_TIMESTAMP;NO;timestamp;NULL;NULL;NULL;NULL;0;NULL;NULL;timestamp;;"DEFAULT_GENERATED on update CURRENT_TIMESTAMP";select,insert,update,references;;;NULL
def;mysql;innodb_table_stats;n_rows;4;NULL;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select,insert,update,references;;;NULL
def;mysql;innodb_table_stats;sum_of_other_index_sizes;6;NULL;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select,insert,update,references;;;NULL
def;mysql;innodb_table_stats;table_name;2;NULL;NO;varchar;199;597;NULL;NULL;NULL;utf8;utf8_bin;varchar(199);PRI;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;database_name;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_bin;varchar(64);PRI;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;index_name;3;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_bin;varchar(64);PRI;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;last_update;4;CURRENT_TIMESTAMP;NO;timestamp;NULL;NULL;NULL;NULL;0;NULL;NULL;timestamp;;"DEFAULT_GENERATED on update CURRENT_TIMESTAMP";select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;sample_size;7;NULL;YES;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;stat_description;8;NULL;NO;varchar;1024;3072;NULL;NULL;NULL;utf8;utf8_bin;varchar(1024);;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;stat_name;5;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_bin;varchar(64);PRI;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;stat_value;6;NULL;NO;bigint;NULL;NULL;20;0;NULL;NULL;NULL;"bigint unsigned";;;select,insert,update,references;;;NULL
def;mysql;innodb_index_stats;table_name;2;NULL;NO;varchar;199;597;NULL;NULL;NULL;utf8;utf8_bin;varchar(199);PRI;;select,insert,update,references;;;NULL
def;information_schema;CHARACTER_SETS;CHARACTER_SET_NAME;1;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;CHARACTER_SETS;DEFAULT_COLLATE_NAME;2;NULL;NO;varchar;64;192;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(64);;;select;;;NULL
def;information_schema;CHARACTER_SETS;DESCRIPTION;3;NULL;NO;varchar;2048;6144;NULL;NULL;NULL;utf8;utf8_general_ci;varchar(2048);;;select;;;NULL
